gender,age,cal,fat_percent,carb_low_min,carb_low_max,carb_light_min,carb_light_max,carb_med_min,carb_med_max,carb_heavy_min,carb_heavy_max,protein,sodium_min,sodium_max
ชาย,1-3,1.05,35.00,102,147,118,170,144,208,169,244,16,255,675
ชาย,4-5,"1,290",25.00,125,180,145,209,176,254,207,299,19,300,950
ชาย,6-8,"1,800",25.00,140,202,162,234,196,284,231,334,24,300,950
ชาย,9-12,"2,200",25.00,144,208,168,242,204,294,240,346,39,400,1175
ชาย,13-15,"2,370",25.00,214,309,248,357,300,434,353,510,55,500,1500
ชาย,16-18,"2,260",25.00,230,332,266,384,323,466,380,549,61,525,1600
ชาย,19-30,"2,190",20.00,220,318,254,367,309,466,363,525,61,500,1475
ชาย,31-50,"2,180",20.00,213,307,246,356,299,432,352,508,60,475,1450
ชาย,51-60,"1,790",20.00,212,306,245,354,298,430,350,505,60,475,1451
ชาย,61-70,"1,740",20.00,175,251,201,290,244,353,287,414,59,475,1452
ชาย,>= 71,"1,440",20.00,170,245,196,283,239,345,286,414,56,400,1200
หญิง,1-3,980,35.00,95,137,110,159,134,193,157,227,15,225,675
หญิง,4-5,"1,200",25.00,163,236,116,167,135,194,192,278,19,300,950
หญิง,6-8,1.65,25.00,128,185,149,215,180,260,213,307,24,300,950
หญิง,9-12,"1,860",25.00,142,206,166,240,202,292,237,343,40,350,110
หญิง,13-15,1.89,25.00,181,262,209,303,254,367,299,432,51,400,1250
หญิง,16-18,"1,780",25.00,183,265,213,306,258,372,303,438,51,425,1275
หญิง,19-30,"1,780",20.00,173,250,200,288,244,352,286,414,53,400,1200
หญิง,31-50,"1,770",20.00,173,250,200,288,243,351,286,413,52,400,1200
หญิง,51-60,1.56,20.00,173,249,200,289,242,350,286,412,52,400,1201
หญิง,61-70,"1,540",20.00,151,219,176,253,213,307,250,362,50,400,1202
หญิง,>= 71,"1,320",20.00,150,216,173,250,210,304,248,358,49,350,1050
